2019/07/14 21:47:11 Step 0 ... 讀取config.property
2019/07/14 21:47:11 完成，共計讀取到 1 筆資料
=======================================
2019/07/14 21:47:11 Step 1 ... 根據設定檔逐一爬取資料
----------------------------------
2019/07/14 21:47:11 Step 1.0.1 ... 哈寵誌，跳轉到網址進行爬取
2019/07/14 21:47:14 Step 1.0.2 ... 哈寵誌，針對瀑布流網站進行頁面跳轉
2019/07/14 21:47:20 Step 1.0.3 ... 哈寵誌，訂閱者數量抓取
2019/07/14 21:47:20 Step 1.0.4 ... 哈寵誌，頁面元素解析	，完成，共計讀取到 137 筆資料
2019/07/14 21:50:07 Step 1.0.4.68 .. 【哈寵PETube】第12集 夏日蟲蟲大作戰，第0次嘗試內容解析	成功。
2019/07/14 21:50:09 Step 1.0.4.69 .. 【哈寵PETube】第11集 柴犬到底在搞什麼，第0次嘗試內容解析	成功。
2019/07/14 21:50:11 Step 1.0.4.70 .. 【哈寵PETube】第10集 柴柴の健康怎麼護？，第0次嘗試內容解析	成功。
2019/07/14 21:50:14 Step 1.0.4.71 .. 【哈寵PETube】第９集柴柴應該怎麼吃，第0次嘗試內容解析	成功。
2019/07/14 21:50:16 Step 1.0.4.72 .. 【哈寵PETube】第８集柴犬の飼養指南，第0次嘗試內容解析	成功。
2019/07/14 21:50:18 Step 1.0.4.73 .. 【哈寵PETube】第７集毛孩局部清潔怎麼做，第0次嘗試內容解析	成功。
2019/07/14 21:50:21 Step 1.0.4.74 .. 【哈寵PETube】第６集 寵物梳毛好重要，第0次嘗試內容解析	成功。
2019/07/14 21:50:23 Step 1.0.4.75 .. 【哈寵PETube】第５集 外袋３看很簡單，第0次嘗試內容解析	成功。
2019/07/14 21:50:25 Step 1.0.4.76 .. 【哈寵PETube】第４集 香蘋養生黃金豬，第0次嘗試內容解析	成功。
2019/07/14 21:50:28 Step 1.0.4.77 .. 【哈寵PETube】第３集 過年飲食危機OUT，第0次嘗試內容解析	成功。
2019/07/14 21:50:30 Step 1.0.4.78 .. 【哈寵PETube】第２集 食物保存罐頭篇，第0次嘗試內容解析	成功。
2019/07/14 21:50:32 Step 1.0.4.79 .. 【哈寵PETube】第１集 食物保存乾糧篇，第0次嘗試內容解析	成功。
2019/07/14 21:50:34 Step 1.0.4.80 .. 黃金三分鐘！打造賺錢寵物店💎【 賺錢寵物店必備元素５】提升購買意願的氛圍，第0次嘗試內容解析	成功。
2019/07/14 21:50:37 Step 1.0.4.81 .. 管理寵物店必備能力 【增加營收的能力】，第0次嘗試內容解析	成功。
2019/07/14 21:50:39 Step 1.0.4.82 .. 管理寵物店必備能力 【減少耗損的能力】，第0次嘗試內容解析	成功。
2019/07/14 21:50:41 Step 1.0.4.83 .. 管理寵物店必備能力 【管理商品的能力】，第0次嘗試內容解析	成功。
2019/07/14 21:50:44 Step 1.0.4.84 .. 管理寵物店必備能力 【管理員工的能力】，第0次嘗試內容解析	成功。
2019/07/14 21:50:46 Step 1.0.4.85 .. 管理寵物店必備能力 【建立寵物店的SOP】，第0次嘗試內容解析	成功。
2019/07/14 21:50:48 Step 1.0.4.86 .. 黃金三分鐘！打造賺錢寵物店💎【 賺錢寵物店必備元素４】打造高忠誠度的顧客，第0次嘗試內容解析	成功。
2019/07/14 21:50:50 Step 1.0.4.87 .. 黃金三分鐘！打造賺錢寵物店💎【 賺錢寵物店必備元素３】對顧客有意義的特色，第0次嘗試內容解析	成功。
2019/07/14 21:50:53 Step 1.0.4.88 .. 黃金三分鐘！打造賺錢寵物店💎【 賺錢寵物店必備元素２】令人信任的專業形象，第0次嘗試內容解析	成功。
